name,team,pos,pass_td,rush_td,rec_td,fg,pat,dst_td,safety,confidence,source,notes
Jahmyr Gibbs,DET,RB,,13.4,3.8,,,,,HIGH,VEGAS 4.5 rec + DK lead +500 + 3 proj,Overall RB1
Jonathan Taylor,IND,RB,,12.2,1.3,,,,,HIGH,VEGAS 11.5 rush TD + 3 proj,True goal-line back
Christian McCaffrey,SF,RB,,9.0,4.4,,,,,HIGH,VEGAS 4.5 rec + 3 proj,Goal-line yes
Derrick Henry,BAL,RB,,12.8,0.6,,,,,HIGH,VEGAS 12.5 rush TD + 3 proj,Vegas HIGHER than consensus here
James Cook III,BUF,RB,,10.8,1.8,,,,,HIGH,VEGAS 10.5 rush TD + 3 proj,Allen vulture tax already priced into line
Josh Jacobs,GB,RB,,11.3,1.3,,,,,HIGH,DK lead +900 + 3 proj,Goal-line yes
Bijan Robinson,ATL,RB,,8.7,3.3,,,,,HIGH,VEGAS 3.5 rec + 3 proj,CAUTION only 48 pct of inside-5 carries in 2025
Kyren Williams,LAR,RB,,10.1,1.8,,,,,HIGH,VEGAS 9.5 rush TD + 2 proj,Alternates drives with Corum
Javonte Williams,DAL,RB,,10.6,1.2,,,,,HIGH,VEGAS 9.5 rush TD + 2 proj,Goal-line yes
Omarion Hampton,LAC,RB,,9.2,1.9,,,,,HIGH,2 proj sources,Goal-line yes
Chase Brown,CIN,RB,,7.4,3.6,,,,,HIGH,VEGAS 5.5 rush TD + 3 proj,Vegas LOWER than consensus
Saquon Barkley,PHI,RB,,8.6,2.1,,,,,HIGH,DK lead +1600 + 3 proj,TRAP: Hurts vultures 8.5 rush TDs; not priced in
Kenneth Walker III,KC,RB,,8.9,1.6,,,,,HIGH,3 proj sources,New to KC; no established GL hierarchy
Ashton Jeanty,LV,RB,,7.0,2.0,,,,,HIGH,2 proj sources,Goal-line yes
De'Von Achane,MIA,RB,,5.7,3.3,,,,,HIGH,VEGAS 5.5 rush TD + 3 proj,Not the goal-line back
Jeremiyah Love,ARI,RB,,6.8,2.1,,,,,HIGH,2 proj sources,Rookie; opened camp as RB2 behind Allgeier
Breece Hall,NYJ,RB,,6.3,2.4,,,,,MEDIUM,2 proj sources,Groin strain Aug 17; expected Week 1
Jadarian Price,SEA,RB,,7.5,1.1,,,,,HIGH,2 proj sources,Rookie; leads while Charbonnet rehabs
Cam Skattebo,NYG,RB,,7.4,1.2,,,,,HIGH,2 proj sources,Goal-line yes
D'Andre Swift,CHI,RB,,7.5,1.1,,,,,HIGH,2 proj sources,
Rhamondre Stevenson,NE,RB,,6.9,1.6,,,,,HIGH,2 proj sources,Goal-line yes
Bhayshul Tuten,JAX,RB,,6.8,1.7,,,,,HIGH,2 proj sources,But Rodriguez owns goal line
Bucky Irving,TB,RB,,6.2,1.9,,,,,HIGH,2 proj sources,TRAP: ZERO carries inside the 5 in 2025
Quinshon Judkins,CLE,RB,,7.2,0.8,,,,,HIGH,2 proj sources,Goal-line yes
TreVeyon Henderson,NE,RB,,6.8,1.2,,,,,HIGH,2 proj sources,Not the goal-line back
David Montgomery,HOU,RB,,7.0,0.8,,,,,HIGH,VEGAS 7.5 rush TD + 2 proj,Traded DET to HOU
J.K. Dobbins,DEN,RB,,6.8,0.9,,,,,HIGH,2 proj sources,Goal-line yes
Travis Etienne Jr.,NO,RB,,5.6,2.0,,,,,HIGH,2 proj sources,Traded JAX to NO
