name,team,pos,pass_td,rush_td,rec_td,fg,pat,dst_td,safety,confidence,source,notes
Ja'Marr Chase,CIN,WR,,0.1,10.9,,,,,HIGH,FFToday + ESPN,
Davante Adams,LAR,WR,,,10.3,,,,,HIGH,FFToday + ESPN,
Amon-Ra St. Brown,DET,WR,,0.1,10.2,,,,,HIGH,FFToday + ESPN,
Puka Nacua,LAR,WR,,0.6,9.3,,,,,HIGH,FFToday + ESPN,
CeeDee Lamb,DAL,WR,,0.1,8.3,,,,,HIGH,FFToday + ESPN,
Jaxon Smith-Njigba,SEA,WR,,0.1,8.2,,,,,HIGH,FFToday + ESPN,
Rashee Rice,KC,WR,,0.3,7.9,,,,,HIGH,FFToday + ESPN,
Tee Higgins,CIN,WR,,,8.2,,,,,HIGH,FFToday + ESPN,
Rome Odunze,CHI,WR,,,7.7,,,,,HIGH,FFToday + ESPN,
George Pickens,DAL,WR,,,7.6,,,,,HIGH,FFToday + ESPN,
Malik Nabers,NYG,WR,,0.1,7.2,,,,,HIGH,FFToday + ESPN,
Emeka Egbuka,TB,WR,,0.1,7.2,,,,,HIGH,FFToday + ESPN,
Courtland Sutton,DEN,WR,,,7.3,,,,,HIGH,FFToday + ESPN,
Justin Jefferson,MIN,WR,,0.1,7.2,,,,,HIGH,FFToday + ESPN,
Drake London,ATL,WR,,,7.2,,,,,HIGH,FFToday + ESPN,
Christian Watson,GB,WR,,0.1,7.0,,,,,HIGH,FFToday + ESPN,
A.J. Brown,NE,WR,,,7.0,,,,,HIGH,FFToday + ESPN,
Nico Collins,HOU,WR,,0.1,6.8,,,,,HIGH,FFToday + ESPN,
Brock Bowers,LV,TE,,0.1,6.8,,,,,HIGH,FFToday + ESPN,
Chris Olave,NO,WR,,,6.8,,,,,HIGH,FFToday + ESPN,
Mark Andrews,BAL,TE,,0.3,6.5,,,,,HIGH,FFToday + ESPN,
D.J. Moore,BUF,WR,,0.2,6.5,,,,,HIGH,FFToday + ESPN,
Jameson Williams,DET,WR,,0.3,6.3,,,,,HIGH,FFToday + ESPN,
Mike Evans,SF,WR,,,6.4,,,,,HIGH,FFToday + ESPN,
Trey McBride,ARI,TE,,,6.2,,,,,HIGH,FFToday + ESPN,
Ladd McConkey,LAC,WR,,,6.2,,,,,HIGH,FFToday + ESPN,
DK Metcalf,PIT,WR,,,6.1,,,,,HIGH,FFToday + ESPN,
Jaylen Waddle,DEN,WR,,0.1,6.0,,,,,HIGH,FFToday + ESPN,
DeVonta Smith,PHI,WR,,,6.0,,,,,HIGH,FFToday + ESPN,
Colston Loveland,CHI,TE,,,6.0,,,,,HIGH,FFToday + ESPN,
Tetairoa McMillan,CAR,WR,,,6.0,,,,,HIGH,FFToday + ESPN,
Terry McLaurin,WAS,WR,,,6.0,,,,,HIGH,FFToday + ESPN,
Zay Flowers,BAL,WR,,0.2,5.8,,,,,HIGH,FFToday + ESPN,
Quentin Johnston,LAC,WR,,0.1,5.8,,,,,HIGH,FFToday + ESPN,
Dallas Goedert,PHI,TE,,,5.8,,,,,HIGH,FFToday + ESPN,
