player,team,market,line,over_odds,under_odds,sportsbook,source_type,source_url
Joe Burrow,CIN,passing_td,32.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Matthew Stafford,LAR,passing_td,30.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Jared Goff,DET,passing_td,29.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Dak Prescott,DAL,passing_td,27.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Brock Purdy,SF,passing_td,27.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Drake Maye,NE,passing_td,26.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Patrick Mahomes,KC,passing_td,25.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Trevor Lawrence,JAX,passing_td,25.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Justin Herbert,LAC,passing_td,25.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Baker Mayfield,TB,passing_td,25.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Josh Allen,BUF,passing_td,24.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Caleb Williams,CHI,passing_td,24.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Bo Nix,DEN,passing_td,24.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Jordan Love,GB,passing_td,24.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Lamar Jackson,BAL,passing_td,24.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Sam Darnold,SEA,passing_td,23.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
C.J. Stroud,HOU,passing_td,22.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Jalen Hurts,PHI,passing_td,22.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Aaron Rodgers,PIT,passing_td,21.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Jayden Daniels,WAS,passing_td,21.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Cam Ward,TEN,passing_td,20.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Bryce Young,CAR,passing_td,20.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Tyler Shough,NO,passing_td,20.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Jaxson Dart,NYG,passing_td,19.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Daniel Jones,IND,passing_td,19.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Kyler Murray,MIN,passing_td,18.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Malik Willis,MIA,passing_td,14.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Deshaun Watson,CLE,passing_td,12.5,-110,-110,draftkings,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Fernando Mendoza,LV,passing_td,12.5,-110,-110,caesars,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
Jacoby Brissett,ARI,passing_td,11.5,-110,-110,caesars,sportsbook,https://www.scoresandodds.com/nfl/futures/total-passing-touchdowns
